Progr;Date;Industrial Group;Industrial Group Descr;GKAM;Des GKAM;KAM;Des KAM;Sub Holding;Sub Holding Descr;P/N;Internal Company Code;Order Type Descr;Weight new booking;Q.TY;Currency;Exchange;Cost Currency Perc;Cost Euro Perc;Price Currency Perc;Price Euro Perc;Tot Cost Currency;Tot Cost Currency Weighted;Total Cost Euro;Total Cost Euro Weighted;Tot Turnover Currency;Tot Turnovr Curr Weighted;Tot Turnover Euro;Tot Turnover Euro Weighted;Weight per part (kg);Product Type;SOP Q_/YEAR Date;SOP+1 Euro;SOP+2 Euro;SOP+3 Euro;Macro Cod;Macro Application
1;01/01/2020;004;FAIC GROUP;GKD2;Group Sales GKD2;GKD2;Sales Customer GKD2;USA;Company USA;FC065AA;0650AVFC;EXTENSION;;120000,000;USD;1,120000;8,810000;7,870000;9,700000;8,660000;10572,000000;;9439,290000;;11640,000000;;10392,860000;;0,008164;;0;;;;;
2;01/01/2020;004;FAIC GROUP;GKD2;Group Sales GKD2;GKD2;Sales Customer GKD2;USA;Company USA;FC065AA;0198APFC;EXTENSION;;360000,000;USD;1,120000;8,910000;7,960000;9,600000;8,570000;32076,000000;;28639,290000;;34560,000000;;30857,140000;;0,025129;;0;;;;;
3;01/01/2020;327;SIAT GROUP;GKD5;Group Sales GKD5;GKD5;Sales Customer GKD5;USA;Company USA;SIE0TBA;07200SSI;EXTENSION;;15000,000;USD;1,120000;8,540000;7,620000;41,870000;37,380000;1281,000000;;1143,750000;;6280,500000;;5607,590000;;0,030844;;0;;;;;
4;02/01/2020;002;REUL GROUP;GK63;Group Sales GK63;GK63;Sales Customer GK63;AGR;Company SPA;RE77013;0C2141RE;NEW;;321000,000;EUR;1,000000;57,950000;57,950000;69,800000;69,800000;186019,500000;;186019,500000;;224058,000000;;224058,000000;;0,259000;NO;20210101;;;;;
5;02/01/2020;002;REUL GROUP;GK63;Group Sales GK63;GK63;Sales Customer GK63;FRA;Company France;RE77047;NZARE;NEW;;26650,000;EUR;1,000000;32,860000;32,860000;49,900000;49,900000;8757,190000;;8757,190000;;13298,350000;;13298,350000;;0,099600;NO;0;;;;;
6;02/01/2020;002;REUL GROUP;GK63;Group Sales GK63;GK63;Sales Customer GK63;FRA;Company France;RE77090;NZARE;NEW;;6578310,000;EUR;1,000000;3,370000;3,370000;4,150000;4,150000;221689,050000;;221689,050000;;272999,860000;;272999,870000;;0,013900;NO;20210101;;;;;
7;02/01/2020;002;REUL GROUP;GK63;Group Sales GK63;GK63;Sales Customer GK63;FRA;Company France;RE77033;NZARE;NEW;;459533,000;EUR;1,000000;6,570000;6,570000;7,900000;7,900000;30191,320000;;30191,320000;;36303,110000;;36303,110000;;0,019900;NO;0;;;;;
8;02/01/2020;002;REUL GROUP;GK63;Group Sales GK63;GK63;Sales Customer GK63;FRA;Company France;RE77017;V151RE;NEW;;229767,000;EUR;1,000000;43,010000;43,010000;51,700000;51,700000;98822,790000;;98822,790000;;118789,540000;;118789,540000;;0,187000;NO;0;;;;;
9;02/01/2020;327;SIAT GROUP;GKD5;Group Sales GKD5;GKD5;Sales Customer GKD5;USA;Company USA;SIW507M;0648BVSI;NEW;;200000,000;USD;1,120000;6,350000;5,670000;6,350000;5,670000;12700,000000;;11339,290000;;12700,000000;;11339,290000;;0,007257;;0;;;;;
11;06/01/2020;013;MAA  GROUP;GK19;Group Sales GK19;GKD1;Sales Customer GKD1;USA;Company USA;MA11549;0684AWMA;EXTENSION;;810028,000;USD;1,120000;2,460000;2,200000;5,220000;4,660000;19926,690000;;17791,690000;;42283,460000;;37753,090000;;0,002721;;0;;;;;
