Part No;Job No;Report Date;Quantity;Piece Weight;Quantity OK;Quantity Rejected;Workcenter Code;Building Code;Part No Revision
005002MY39;127539;4/29/2023;45701;0.00628;45701;0;PF-PW2;PF;005002MY39 Rev F
005002MY39;127539;4/26/2023;45701;0.00628;45701;0;F08U3;PF;005002MY39 Rev F
002143AW84;123577;1/18/2023;18500;0;18500;0;S2BU3;PF;002143AW84 Rev H
002143AW84;123577;1/18/2023;71167;0;71167;0;S2BU3;PF;002143AW84 Rev H
002143AW84;123577;1/19/2023;88611;0;88611;0;S2BU3;PF;002143AW84 Rev H
002143AW84;123577;1/19/2023;79389;0;79389;0;S2BU3;PF;002143AW84 Rev H
002143AW84;125675;1/24/2023;55000;0.01415;55000;0;VP-214H;VP;002143AW84 Rev H
002143AW84;125675;1/25/2023;68675;0.01415;68675;0;VP-214H;VP;002143AW84 Rev H
002143AW84;125675;1/25/2023;110000;0.01415;110000;0;VP-214H;VP;002143AW84 Rev H
002143AW84;125675;1/26/2023;8869;0.01415;8869;0;VP-214H;VP;002143AW84 Rev H
002143AW84;126592;2/21/2023;0;0.01415;0;0;VP-214H;VP;002143AW84 Rev H
002143AW84;126592;2/21/2023;0;0.01415;0;0;VP-214H;VP;002143AW84 Rev H
002143AW84;126592;2/21/2023;57000;0.01415;57000;0;VP-214H;VP;002143AW84 Rev H
002143AW84;126592;2/21/2023;39000;0.01415;39000;0;VP-214H;VP;002143AW84 Rev H
002143AW84;126592;2/21/2023;0;0.01415;0;0;VP-214H;VP;002143AW84 Rev H
002143AW84;126592;2/21/2023;20000;0.01415;20000;0;VP-214H;VP;002143AW84 Rev H
002143AW84;126592;2/22/2023;70742;0.01415;70742;0;VP-214H;VP;002143AW84 Rev H
002143AW84;127535;4/24/2023;50000;0.01415;50000;0;VP-214H;VP;002143AW84 Rev H
002143AW84;125675;1/27/2023;1027;0.01835;1027;0;VP-519R;VP;002143AW84 Rev H
002143AW84;125675;1/28/2023;65240;0.01835;65240;0;VP-519R;VP;002143AW84 Rev H
002143AW84;125675;1/28/2023;21689;0.01835;21689;0;VP-519R;VP;002143AW84 Rev H
002143AW84;125675;1/28/2023;49264;0.01835;49264;0;VP-519R;VP;002143AW84 Rev H
002143AW84;125675;1/28/2023;29973;0.01835;29973;0;VP-519R;VP;002143AW84 Rev H
002143AW84;125675;1/28/2023;31499;0.01835;31499;0;VP-519R;VP;002143AW84 Rev H
